"","Pvalb","Sncg","Sst","Lamp5","Vip","Pvalb.Vip.3","Pvalb.Sst.1","Lamp5.Vip.2","Sncg.Vip.1"
"TEAD2",0.43321937409032,-0.189490620990921,-1.04736913635709,0.179479733420579,-0.212243508085085,-0.821046195915434,-0.767083074100849,0.0799379892577158,-0.202325824838813
"TFDP1",-1.65382427392266,1.96332662226415,-1.14898070228637,2.73790948706777,0.142795995099511,0.883108330782306,-2.33178442131762,2.59949162099458,1.29475925026061
"ZBTB7A",-1.72188656343677,0.53418417619051,0.195961644307654,0.270074800298033,0.336539305116162,-0.674165891434685,-0.954509077210134,0.339903043842911,0.504203438087151
"ZEB1",-3.06300627999875,2.33179798443245,-1.24309523402826,0.862512501720607,3.02669594744853,-1.67169557287913,-3.23550891363499,1.44540932526448,3.07160539140889
"ZNF24",-2.06372575219487,2.01030004801846,0.888270789040377,1.3187027890539,0.0746537079704705,1.27277292946378,-0.590206275739208,1.47510743401578,1.2119922594735
"ZNF384",-0.148109320084665,-4.19827376261611,6.07934735384867,-2.90577399744194,-4.67954012533067,1.26030537778335,6.13166703171765,-3.86283164740569,-5.50938395060307
"ZNF282",-1.44329735599058,0.780087151835998,0.399570061787618,0.636204986078635,0.338075204072269,0.263203881750848,-0.634284743562989,0.711051895506484,0.659674964679636
"ZSCAN4",-0.752412396607351,-0.264016956049117,1.46415838387386,-0.864379824772801,-0.461898734444404,0.00995739541772593,0.91794318288264,-0.865681397567989,-0.501175430940044
"RORB",5.69343043252576,-3.20646121084052,-3.00961957727973,-1.17755241656947,-3.22359282003129,-1.99983045634258,0.755303238320853,-1.96390729853351,-3.48035826130486
"RORC",6.29393062412698,-3.90942457304421,-5.11454583414845,-0.938815240855558,-3.0758450272426,-2.98297484143054,-0.628711142980085,-2.07060820245884,-3.93156054913479
"SOX15",-3.90533819723268,1.91513908514713,-0.257728767790037,1.51358333829354,3.0783680357963,-0.662494353572851,-2.87934095666356,2.03290717640452,2.94890405041652
"TFE3",0.252958034033327,0.119812014709534,-2.94841771087438,1.7459869569945,0.648867770508182,-0.687213258915538,-2.70321580786269,1.63843924211581,0.634999349756588
"VDR",1.86876973784355,-0.99796566732491,-0.60254112500642,-0.975353746295119,-0.799457241049138,-0.618535412660431,0.87950507369194,-1.08642146549429,-1.0541018622718
"Smad4",-0.117771056648572,-1.3920324089153,1.82195471427643,-1.98302579617197,-0.880502233287512,-1.14907357781577,1.39252908074564,-2.03551503723101,-1.34953656784187
"IRF3",0.630264568455344,-0.796608361275783,-0.0740283787185079,0.0476630988498308,-1.70621133277343,-0.00206968224314658,0.400298623832358,-0.325771541107714,-1.43679994138652
"IRF5",0.728533262209969,0.371052925739676,-1.42078382238839,1.46492291157798,-0.983802839524036,0.405646992902186,-0.958392538570163,1.15115549102298,-0.278280621189218
"TCF7L1",2.06274988669416,-0.883084788962983,-0.941573841713002,-1.51875796682931,-1.88374123903025,-1.69769315837643,0.542662637858596,-1.80951981263829,-1.7074980560386
"ARGFX",-0.0291618456326508,-0.0331030908664093,-0.174496878476755,-0.163442353924678,-0.709953879684911,-0.592055831269626,-0.208434322223372,-0.271325358336115,-0.450909033862954
"ARNT2",-1.52007432893275,1.90727067804958,-1.48078793185771,1.43453595807622,1.7340904789498,-0.682686771558269,-2.52449490789327,1.739382915906,2.10229790607211
"ATF6",-0.566838182789119,-0.0758111754580615,1.19995597796348,-0.70198044188202,-0.913544559070132,-0.271074316482778,0.657461657498223,-0.752897643973004,-0.650145631789552
